detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
73219,Rollover/Overturn,Daylight,Rural-Minor Collector,Not an Intersection,f
73220,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Y-Intersection,f
73221,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
73222,Other Fixed Object,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
73223,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,T-Intersection,f
73224,Ditch,Dark - Not Lighted,Rural-Local Road or Street,T-Intersection,f
73225,Live Animal,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
73226,Ditch,Daylight,Rural-Minor Arterial,Not an Intersection,f
73227,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73228,Culvert,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
73229,Ground,Daylight,Urban-Local Road or Street,Not an Intersection,f
73230,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
73231,Rollover/Overturn,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73232,Curb,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
73233,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
73234,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
73235,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
73236,Other Fixed Object,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,t
73237,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
73238,Concrete Traffic Barrier,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73239,Embankment,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
73240,Utility Pole/Light Support,Daylight,Rural-Local Road or Street,Not an Intersection,t
73241,Pedalcyclist,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
73242,Ditch,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73243,Motor Vehicle In-Transport ,Dusk,Rural-Major Collector,Four-Way Intersection,t
73244,Building,Daylight,Rural-Major Collector,Not an Intersection,f
73245,Ground,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73246,Pedalcyclist,Daylight,Rural-Major Collector,Not an Intersection,f
73247,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
73248,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73249,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73250,Ground,Daylight,Rural-Minor Arterial,Not an Intersection,f
73251,Utility Pole/Light Support,Daylight,Rural-Local Road or Street,Not an Intersection,f
73252,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,T-Intersection,f
73253,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73254,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,t
73255,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
73256,Fence,Daylight,Rural-Local Road or Street,Not an Intersection,f
73257,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73258,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73259,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
73260,Utility Pole/Light Support,Daylight,Rural-Local Road or Street,Not an Intersection,f
73261,"Other Post, Other Pole or Other Supports",Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73262,Pedestrian,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
73263,Railway Vehicle,Daylight,Rural-Local Road or Street,Not an Intersection,f
73264,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Four-Way Intersection,f
73265,Rollover/Overturn,Dark - Not Lighted,Rural-Minor Collector,Not an Intersection,f
73266,Culvert,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
73267,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
